SEASON,TIER,video_id,BOSS,TEAM,DAMAGE,CREATOR,VALIDATE_LINK
108,L3,D6T29ec9uWI,Hive Tyrant,"Lav, Kari, Traj, Boss, Atla, Galatian","1,940,000",Painhawk,https://www.youtube.com/watch?v=D6T29ec9uWI
108,L2,vATL6B1RExA,Screamer,"Rho, Tan, Actus, Vit, Ammuk, Reanimator","3,200,000",BuretRD,https://www.youtube.com/watch?v=vATL6B1RExA
108,L2,UeLI_8LDGAs,Screamer,"Lav, Kari, Traj, Boss, Aesoth, PBC","2,400,000",GarviLoken,https://www.youtube.com/watch?v=UeLI_8LDGAs
108,L1,REGZiCh0NCk,Riptide,"Rho, Tan, Actus, Vit, Traj, Galatian","1,360,000",Painhawk,https://www.youtube.com/watch?v=REGZiCh0NCk
108,L1,AdOYEMc4DFQ,Riptide,"Neuro, Abrax, Ahri, Abaddon, Archi, Zkar","1,090,000",Painhawk,https://www.youtube.com/watch?v=AdOYEMc4DFQ
109,M3,oDwQz8YlLWQ,Lion,"Lav, Kari, Traj, Aesoth, Vit, Biovore","1,450,000",Prufrock,https://www.youtube.com/watch?v=oDwQz8YlLWQ
109,M3,fpYV8OhGXZQ,Lion,"Lav, Kari, Traj, Aesoth, Vit, Biovore","1,390,000",Adeptus Gorditas,https://www.youtube.com/watch?v=fpYV8OhGXZQ
109,M3,Y_5rgN5eNqQ,Lion,"Neuro, Abrax, Ahri, Abaddon, Archi, Zkar","989,000",Un4given,https://www.youtube.com/watch?v=Y_5rgN5eNqQ
109,M3,hG12XkVlPyg,Lion,"Neuro, Abrax, Ahri, Abaddon, Archi, Zkar","1,200,000",Un4given,https://www.youtube.com/watch?v=hG12XkVlPyg
109,M3,UekSS6iakNE,Lion,"Farsight, Revas, Actus, Darkstrider, Eldy, Biovore","1,100,000",GarviLoken,https://www.youtube.com/watch?v=UekSS6iakNE
109,M3,ZmytgDFSl3o,Lion,"Farsight, Revas, Actus, Darkstrider, Eldy, Biovore","782,000",Machiep,https://www.youtube.com/watch?v=ZmytgDFSl3o
109,M2,CfzcAYz08WA,Szarekh,"Lav, Kari, Traj, Boss, Aesoth, Biovore","2,610,000",HozzMidnight,https://www.youtube.com/watch?v=CfzcAYz08WA
109,M2,Z5VFRZVPLr4,Szarekh,"Lav, Kari, Traj, Boss, Vit, Biovore","2,200,000",Kitty Bebop,https://www.youtube.com/watch?v=Z5VFRZVPLr4
109,M2,fH5nuZFBzoo,Szarekh,"Rho, Tan, Actus, Vit, Boss, Biovore","1,800,000",Painhawk,https://www.youtube.com/watch?v=fH5nuZFBzoo
109,M1,0gQyyUSz0hA,Mortarion,"Lav, Kari, Traj, Boss, Atla, Biovore","1,900,000",Blackmane Gaming,https://www.youtube.com/watch?v=0gQyyUSz0hA
109,M1,XvdTbyXnc8U,Mortarion,"Rho, Tan, Actus, Helb, Aleph, Reanimator","1,090,000",Yagyuu,https://www.youtube.com/watch?v=XvdTbyXnc8U
109,M1,ndbqPq9NXTM,Mortarion,"Neuro, Abrax, Ahri, Yaz, Rosie, Zkar","1,000,000",Un4given,https://www.youtube.com/watch?v=ndbqPq9NXTM
109,L5,isMvZ_huR1w,Ghaz,"Lav, Kari, Traj, Aesoth, Vit, Biovore","2,300,000",Kitty Bebop,https://www.youtube.com/watch?v=isMvZ_huR1w
109,L5,a7NgeKIwGFY,Ghaz,"Farsight, Revas, Actus, Darkstrider, Eldy, PBC","2,120,000",JurassicKyle,https://www.youtube.com/watch?v=a7NgeKIwGFY
109,L4,K-QO82aPIxo,Cawl,"Lav, Kari, Traj, Kharn, Dante, Biovore","1,240,000",Ulf,https://www.youtube.com/watch?v=K-QO82aPIxo
109,L4,6lHOzCTbm4w,Cawl,"Neuro, Abrax, Ahri, Abaddon, Archi, Zkar","1,100,000",Stringer de Los Redimidos,https://www.youtube.com/watch?v=6lHOzCTbm4w
109,L3,CNLZt8TyNfQ,Screamer,"Rho, Tan, Actus, Vit, Ammuk, Reanimator","2,550,000",Yagyuu,https://www.youtube.com/watch?v=CNLZt8TyNfQ
109,L3,UeLI_8LDGAs,Screamer,"Lav, Kari, Traj, Boss, Aesoth, PBC","2,400,000",GarviLoken,https://www.youtube.com/watch?v=UeLI_8LDGAs
109,L2,GAyVRZE-t-Y,Dorn,"Rho, Tan, Actus, Vit, Traj, Reanimator","1,790,000",Yagyuu,https://www.youtube.com/watch?v=GAyVRZE-t-Y
109,L2,Q8gU2_2L5AE,Dorn,"Lav, Kari, Traj, Boss, Vit, Biovore","1,740,000",Mawg,https://www.youtube.com/watch?v=Q8gU2_2L5AE
109,L1,FSQwxqDFTv4,Hive Tyrant,"Lav, Kari, Traj, Boss, Atla, PBC","3,180,000",Lyell,https://www.youtube.com/watch?v=FSQwxqDFTv4
109,L1,mwSg9PWKN6g,Hive Tyrant,"Lav, Kari, Traj, Boss, Kharn, FF","1,789,000",Unessentials,https://www.youtube.com/watch?v=mwSg9PWKN6g
