Order_Old,Final_STATUS,Boss,Tier,Damage,Team,Replay,Team (no MoW),view_count,upload_date,creator_name,creator_channel_link,team_key,tier_weight,days_old,date_weight,damage_num,replay_scaled_damage,team_frequency_count,frequency_weight,meta_score
142,ALTERNATE,Riptide,L2,"869,000","Lav, Kari, Traj, Kharn, Dante, Galatian",https://www.youtube.com/shorts/CI2qj5-DFjg,"Lav, Kari, Traj, Kharn, Dante",2582,2026-03-13,UltraBrother,https://www.youtube.com/channel/UCnB6Kf0NVHXLKVWR8Cl9XOA,Dante|Kari|Kharn|Lav|Traj,1.08,82,0.8623683301,869000,938520,3,0.5,404674.9626
141,ALTERNATE,Riptide,L3,"1,000,000","Lav, Kari, Traj, Kharn, Dante, Galatian",https://www.youtube.com/shorts/Llsz1ALI3sY,"Lav, Kari, Traj, Kharn, Dante",1588,2026-03-29,Blackmane Gaming,https://www.youtube.com/channel/UCLrB27ANGanANplNi4IhQ-Q,Dante|Kari|Kharn|Lav|Traj,1.17,66,0.887647523,1000000,1170000,3,0.5,519273.801
149,,Riptide,M1,"753,000","Rag, Kari, Traj, Kharn, Dante, Galatian",https://www.youtube.com/shorts/Mgy3RFsY67U,"Rag, Kari, Traj, Kharn, Dante",8227,2026-01-21,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Dante|Kari|Kharn|Rag|Traj,1.42,133,0.7864966133,753000,1069260,3,0.5,420484.6844
146,,Riptide,L5,"686,000","Neuro, Abrax, Ahri, Yaz, Meph, Exo",https://www.youtube.com/shorts/biCci-TIQAQ,"Neuro, Abrax, Ahri, Yaz, Meph",4053,2025-11-24,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Abrax|Ahri|Meph|Neuro|Yaz,1.33,191,0.7082902698,686000,912380,2,0.3333333333,215409.9588
145,ALTERNATE,Riptide,L3,"1,000,000","Lav, Kari, Traj, Kharn, Dante, Galatian",https://www.youtube.com/shorts/1u-_taSR8vg,"Lav, Kari, Traj, Kharn, Dante",6498,2025-10-03,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Dante|Kari|Kharn|Lav|Traj,1.17,243,0.6448090132,1000000,1170000,3,0.5,377213.2727
147,,Riptide,L5,"527,000","Neuro, Abrax, Ahri, Yaz, Meph, Exo",https://www.youtube.com/shorts/8PySIgqA5eU,"Neuro, Abrax, Ahri, Yaz, Meph",3157,2025-09-04,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Abrax|Ahri|Meph|Neuro|Yaz,1.33,272,0.6119110683,527000,700910,2,0.3333333333,142964.8623
148,,Riptide,L5,"512,000","Rag, Kari, Traj, Kharn, Dante, Galatian",https://www.youtube.com/shorts/AHFusW4A_YY,"Rag, Kari, Traj, Kharn, Dante",1438,2025-11-20,Stringer de Los Redimidos,https://www.youtube.com/channel/UCBu8uJ9F-dU6GGCZZO6ie4Q,Dante|Kari|Kharn|Rag|Traj,1.33,195,0.7031926765,512000,680960,3,0.5,239423.0425
125,META,Screamer,L1,"1,640,000","Lav, Kari, Traj, Boss, Aesoth, FF",https://www.youtube.com/shorts/H6b3ofcOSTI,"Lav, Kari, Traj, Boss, Aesoth",828,2026-02-23,ge0desic,https://www.youtube.com/channel/UCQMkKrvO9K-W3KWwZst7mMQ,Aesoth|Boss|Kari|Lav|Traj,1,100,0.8347887432,1640000,1640000,4,1,1369053.539
118,,Screamer,L3,"1,800,000","Lav, Kari, Traj, Boss, Vit, PBC",https://www.youtube.com/shorts/Y74uUgSfZrw,"Lav, Kari, Traj, Boss, Vit",2941,2026-05-13,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Boss|Kari|Lav|Traj|Vit,1.17,21,0.9627889178,1800000,2106000,1,0.25,506908.3652
121,META,Screamer,L4,"975,000","Lav, Kari, Traj, Boss, Aesoth, PBC",https://www.youtube.com/shorts/-WEtGnd7hXU,"Lav, Kari, Traj, Boss, Aesoth",2091,2026-02-11,cpunerd (kharnage),https://www.youtube.com/channel/UCBFXdOdUvGmr6Pc933lqOxg,Aesoth|Boss|Kari|Lav|Traj,1.25,112,0.8168941279,975000,1218750,4,1,995589.7184
124,META,Screamer,L5,"1,950,000","Lav, Kari, Traj, Boss, Aesoth, PBC",https://www.youtube.com/shorts/Dc9jbz4_Tpk,"Lav, Kari, Traj, Boss, Aesoth",1642,2026-03-27,Prufrock,https://www.youtube.com/channel/UCp28AuIcOq1yiyIT8niZyHQ,Aesoth|Boss|Kari|Lav|Traj,1.33,68,0.8844475377,1950000,2593500,4,1,2293814.689
122,META,Screamer,L5,"1,530,000","Lav, Kari, Traj, Boss, Aesoth, PBC",https://www.youtube.com/shorts/qNcWGRZkzCY,"Lav, Kari, Traj, Boss, Aesoth",3836,2026-03-30,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Aesoth|Boss|Kari|Lav|Traj,1.33,65,0.8892518547,1530000,2034900,4,1,1809538.599
